Especie,Categoria de Dieta,Dentro de agua,Sobre el agua,Piso,Sotobosque,Medio,Dosel,Aéreo,Masa Promedio
Megascops watsonii,Invertebrados,0,0,20,50,30,0,0,134.00
Pulsatrix perspicillata,Carnívoro/Carroñero,0,0,40,20,20,20,0,785.33
Glaucidium brasilianum,Invertebrados,0,0,80,10,10,0,0,74.89
Asio clamator,Carnívoro/Carroñero,0,0,70,10,20,0,0,433.79
Trogon melanurus,Frutas/Néctar,0,0,0,10,30,60,0,109.36
Trogon viridis,Frutas/Néctar,0,0,10,0,30,60,0,87.10
Trogon ramonianus,Frutas/Néctar,0,0,0,70,20,10,0,46.25
Trogon curucui,Invertebrados,0,0,10,30,30,30,0,52.75
Trogon rufus,Invertebrados,0,0,10,60,30,0,0,53.90
Trogon collaris,Invertebrados,0,0,0,30,70,0,0,64.77
Momotus momota,Omnívoro,0,0,30,30,30,10,0,113.21
Megaceryle torquata,Carnívoro/Carroñero,90,0,10,0,0,0,0,308.52
Chloroceryle amazona,Omnívoro,100,0,0,0,0,0,0,119.75
Chloroceryle aenea,Carnívoro/Carroñero,90,10,0,0,0,0,0,13.32
Chloroceryle americana,Carnívoro/Carroñero,70,10,10,10,0,0,0,31.94
Chloroceryle inda,Carnívoro/Carroñero,90,10,0,0,0,0,0,52.09
Galbalcyrhynchus leucotis,Invertebrados,0,0,0,0,60,40,0,46.90
Brachygalba lugubris,Invertebrados,0,0,0,20,20,60,0,15.08
Galbula tombacea,Invertebrados,0,0,0,60,40,0,0,24.09
Galbula leucogastra,Invertebrados,0,0,0,20,80,0,0,16.25
Jacamerops aureus,Invertebrados,0,0,0,0,100,0,0,62.95
Notharchus hyperrhynchus,Invertebrados,0,0,33,33,33,0,0,100.85
Notharchus tectus,Invertebrados,0,0,0,20,20,60,0,25.81
Bucco macrodactylus,Invertebrados,0,0,33,33,33,0,0,25.00
Bucco capensis,Carnívoro/Carroñero,0,0,50,50,0,0,0,51.33
Malacoptila fusca,Invertebrados,0,0,50,50,0,0,0,43.13
Nonnula brunnea,Invertebrados,0,0,50,50,0,0,0,15.25
Monasa nigrifrons,Invertebrados,0,0,40,40,20,0,0,80.08
Monasa morphoeus,Invertebrados,0,0,33,33,33,0,0,86.86
Monasa flavirostris,Invertebrados,0,0,0,0,30,30,40,58.90
Chelidoptera tenebrosa,Invertebrados,0,0,0,0,30,30,40,34.82
Capito aurovirens,Frutas/Néctar,0,0,0,50,50,0,0,52.72
Capito auratus,Frutas/Néctar,0,0,0,20,80,0,0,56.40
Ramphastos tucanus,Frutas/Néctar,0,0,0,0,20,80,0,685.68
Ramphastos vitellinus,Frutas/Néctar,0,0,10,10,50,30,0,369.10
Pteroglossus inscriptus,Frutas/Néctar,0,0,0,0,30,70,0,110.41
Pteroglossus castanotis,Frutas/Néctar,0,0,0,20,60,20,0,258.09
Pteroglossus pluricinctus,Frutas/Néctar,0,0,0,0,20,80,0,250.60
Pteroglossus azara,Frutas/Néctar,0,0,0,0,40,60,0,143.67
Picumnus pumilus,Invertebrados,0,0,0,33,33,33,0,9.04
Picumnus squamulatus,Invertebrados,0,0,0,50,50,0,0,10.27
Melanerpes cruentatus,Omnívoro,0,0,0,0,20,80,0,57.53
Veniliornis passerinus,Invertebrados,0,0,0,33,33,33,0,29.23
Veniliornis affinis,Invertebrados,0,0,0,0,60,40,0,34.07
Campephilus rubricollis,Invertebrados,0,0,0,20,60,20,0,218.36
Campephilus melanoleucos,Invertebrados,0,0,0,0,100,0,0,243.15
Dryocopus lineatus,Invertebrados,0,0,20,20,60,0,0,186.20
Celeus torquatus,Omnívoro,0,0,0,20,60,20,0,134.00
Celeus grammicus,Omnívoro,0,0,0,0,80,20,0,69.97
Celeus flavus,Invertebrados,0,0,0,20,60,20,0,127.42
Celeus elegans,Invertebrados,0,0,0,50,50,0,0,135.05
Piculus flavigula,Invertebrados,0,0,0,0,40,60,0,59.30
Colaptes punctigula,Invertebrados,0,0,0,50,50,0,0,60.31
Herpetotheres cachinnans,Carnívoro/Carroñero,0,0,33,33,33,0,0,598.51
